project,actual,predicted
andrewiggins/download-base-artifact,"Continuous integration,Utilities","Continuous integration,Deployment"
trilom/file-changes-action,"Code review,Utilities","Utilities,Continuous integration"
gr2m/create-or-update-pull-request-action,Utilities,"Utilities,Dependency management"
urlstechie/urlchecker-action,"Monitoring,Continuous integration","Utilities,Code quality"
yanglbme/gitee-pages-action,"Publishing,Deployment","Deployment,Utilities"
fabiocaccamo/create-matrix-action,"Testing,Continuous integration","API management,Backup Utilities"
dorny/test-reporter,"Testing,Reporting","Testing,Reporting"
nick-fields/private-action-loader,"Continuous integration,Utilities","Continuous integration,Deployment"
lemonarc/jekyll-action,"Continuous integration,Deployment","Deployment,Continuous integration"
crondaemon/close-pr,"Code review,Utilities","Project management,Open Source management"
repo-sync/github-sync,"Continuous integration,Utilities","Continuous integration,Open Source management"
Renato66/auto-label,"Community,Utilities","Continuous integration,Utilities"
arma-actions/workshop-upload,"Publishing,Utilities","Publishing,Deployment"
fkirc/skip-duplicate-actions,"Testing,Continuous integration","Utilities,Continuous integration"
aochmann/actions-download-artifact,"Continuous integration,Deployment","Continuous integration,Deployment"
conda-incubator/setup-miniconda,"Dependency management,Utilities","Utilities,Continuous integration"
ArtemSBulgakov/buildozer-action,"Publishing,Deployment","Continuous integration,Utilities"
shogo82148/actions-setup-perl,"Continuous integration,Utilities","Continuous integration,Utilities"
m1ner79/Github-Twittction,"Chat,Publishing","Code review,Utilities"
dawidd6/action-publish-gem,"Publishing,Deployment","Deployment,Publishing"
akosbalasko/coffee-readme,"Support,Utilities","Utilities,Dependency management"
aws-actions/aws-cloudformation-github-deploy,"Publishing,Deployment","Continuous integration,Deployment"
golangci/golangci-lint-action,"Code quality,Continuous integration","Continuous integration,Utilities"
google-github-actions/get-gke-credentials,"Security,Deployment","Continuous integration,Utilities"
toshimaru/auto-author-assign,"Project management,Open Source management","Project management,Code review"
wearerequired/lint-action,"Testing,Code quality","Deployment,Continuous integration"
snok/latest-python-versions,"Continuous integration,Deployment","Continuous integration,Utilities"
ammaraskar/sphinx-action,"Code quality,Continuous integration","Utilities,Project management"
andstor/file-existence-action,"Testing,Utilities","Utilities,Dependency management"
nanasess/setup-chromedriver,"Testing,Continuous integration","Continuous integration,Code quality"
daneden/enable-automerge-action,"Dependency management,Utilities","Deployment,Publishing"
hadialqattan/relies-on,"Testing,Utilities","Utilities,Continuous integration"
tj-actions/verify-changed-files,"Code search,Continuous integration","Continuous integration,Dependency management"
actions/stale,Utilities,"Continuous integration,Utilities"
dropseed/changerelease,"Publishing,Project management","Utilities,Continuous integration"
peaceiris/actions-mdbook,"Publishing,Deployment","Publishing,Utilities"
n1hility/cancel-previous-runs,Continuous integration,"Publishing,Utilities"
redhat-plumbers-in-action/advanced-issue-labeler,"Reporting,Project management","Code quality,Testing"
marvinpinto/action-automatic-releases,"Publishing,Deployment","API management,Backup Utilities"
filipstefansson/uuid-action,"Deployment,Utilities","Continuous integration,Deployment"
mindsers/changelog-reader-action,"Publishing,Open Source management","Utilities,Publishing"
paambaati/codeclimate-action,"Code review,Code quality","Testing,Code review"
shogo82148/actions-upload-release-asset,Publishing,"Continuous integration,Publishing"
jetli/trunk-action,"Continuous integration,Deployment","Continuous integration,Deployment"
actionshub/markdownlint,"Code quality,Continuous integration","Continuous integration,Code quality"
firebelley/godot-export,"Publishing,Utilities","Continuous integration,Utilities"
theleagueof/fontship,"Publishing,Continuous integration","Code quality,Testing"
nerdyscout/kicad-exports,"Publishing,Utilities","Utilities,Continuous integration"
mvasigh/dispatch-action,"Continuous integration,Utilities","Continuous integration,Deployment"
superbrothers/close-pull-request,Utilities,"Project management,Open Source management"
peter-evans/autopep8,"Code quality,Utilities","Utilities,Continuous integration"
arma-actions/sqflint,Code quality,"Continuous integration,Utilities"
sigstore/cosign-installer,"Security,Container CI","Utilities,Continuous integration"
technote-space/release-github-actions,"Publishing,Utilities","Open Source management,Project management"
styfle/cancel-workflow-action,"Testing,Continuous integration","Utilities,Open Source management"
redhat-actions/push-to-registry,"Deployment,Container CI","Publishing,Utilities"
SvanBoxel/delete-merged-branch,"Project management,Utilities","Reporting,Project management"
dawidd6/action-send-mail,"Reporting,Monitoring","Deployment,Utilities"
php-actions/composer,"Dependency management,Utilities","Continuous integration,Open Source management"
codfish/semantic-release-action,"Continuous integration,Deployment","Continuous integration,Security"
tj-actions/branch-names,"Continuous integration,Container CI","Continuous integration,Utilities"
voxmedia/github-action-slack-notify-build,Chat,"Utilities,Continuous integration"
reviewdog/action-eslint,"Code review,Code quality","Continuous integration,Open Source management"
lukka/set-shell-env,Utilities,"Continuous integration,Dependency management"
yi-Xu-0100/traffic-to-badge,"Monitoring,API management","Utilities,Continuous integration"
wow-actions/use-app-token,"Security,Utilities","Continuous integration,Deployment"
stefanzweifel/git-auto-commit-action,Utilities,"Continuous integration,Utilities"
