project,actual,predicted
r0adkll/sign-android-release,"Mobile CI,Publishing",Deployment
casperdcl/push-dir,"Publishing,Deployment",Deployment
reviewdog/action-golangci-lint,"Code review,Code quality",Code quality
peter-evans/find-comment,"Open Source management,Utilities",Open Source management
shyim/junit-report-annotations-action,Utilities,Testing
robinraju/release-downloader,"Continuous integration,Utilities",Publishing
GaboFDC/brakeman-linter-action,"Code review,Code quality",Code quality
crondaemon/close-pr,"Code review,Utilities",Project management
convictional/trigger-workflow-and-wait,"Code quality,Continuous integration",Continuous integration
JamesSingleton/is-organization-member,"Community,Utilities",Community
Chocobo1/setup-ccache-action,"Continuous integration,Utilities",Continuous integration
canonical/has-signed-canonical-cla,"Community,Utilities",Continuous integration
charmixer/auto-changelog-action,"Continuous integration,Deployment",Code quality
trilom/file-changes-action,"Code review,Utilities",Code quality
banyan/auto-label,"Code review,Code search",Utilities
cycjimmy/semantic-release-action,"Publishing,Utilities",Utilities
VeryGoodOpenSource/very_good_coverage,"Testing,Code quality",Code quality
BobAnkh/auto-generate-changelog,"Continuous integration,Utilities",Publishing
nick-fields/private-action-loader,"Continuous integration,Utilities",Utilities
joelanford/go-apidiff,"Code review,API management",Publishing
8398a7/action-slack,"Chat,Continuous integration",Chat
ljmf00/setup-lua,"Dependency management,Utilities",Continuous integration
deep5050/cppcheck-action,"Code review,Code quality",Utilities
MishaKav/pytest-coverage-comment,"Testing,Reporting",Code quality
wow-actions/needs-more-info,"Support,Utilities",Utilities
sue445/go-mod-tidy-pr,"Dependency management,Continuous integration",Code review
aws-actions/amazon-ecr-login,"Continuous integration,Deployment",Deployment
maxim-lobanov/setup-xamarin,Utilities,Continuous integration
Khan/pull-request-workflow-cancel,"Code review,Continuous integration",Continuous integration
kamilkisiela/graphql-inspector,"Monitoring,Code quality",Utilities
hmarr/auto-approve-action,"Code review,Utilities",Open Source management
dawidd6/action-download-artifact,"Continuous integration,Deployment",Continuous integration
TreTuna/sync-branches,"Continuous integration,Deployment",Project management
flowwer-dev/pull-request-stats,"Code review,Project management",Utilities
jmhodges/ensure-latest-go,"Dependency management,Code quality",Utilities
reviewdog/action-hadolint,"Code review,Code quality",Code quality
